Town,Population,OneDose,FullVax,FirstBoost,SecondBoost,OneDosePerCap,FullVaxPerCap,FirstBoostPerCap,SecondBoostPerCap,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2022_gov
Barnstable,48910.0,43359.0,38211.0,21906.0,6248.0,0.8865058270292374,0.7812512778572889,0.4478838683295849,0.1277448374565528,13.1,0.09,3.3,,6.0,8.9,1003.7,79.7,10.7,492.7,17.2,0.061,7.3,46.3,65.0,12.4,60.4,50.9,1347.0,3.4,2445.0,51.8,,,12.1,3.5,65.2,18.8,10.0,13.0,10.2,2.33,29.0,22.0,4.7,29719.0,-0.06,1.6,29.9,24.0,47.0,56.3,20.6,0.123,20.8,28.5,218.0,27.9,8.9,3.31,-0.001,353.0,281.0,,13564.0,22.0,88.2,50.3,0.135,45.6,0.7,8.2,0.907,9.3,,,90.7,68127.0,0.21,418.0,3.8,62.1,32923.0,0.56,24.6,28427.0,Healey
Bourne,20447.0,17343.0,15512.0,9586.0,2765.0,0.8481928889323617,0.7586442998972954,0.468821832053602,0.1352276617596713,9.6,0.139,1.0,-0.131,9.1,8.6,1322.3,114.0,9.6,438.3,18.1,0.1,6.6,134.0,31.0,3.5,9.6,48.3,1110.0,3.0,2300.0,48.9,6.64,153.0,8.5,4.0,77.4,1.5,10.7,17.9,6.0,2.3,29.8,19.5,4.7,27261.0,-0.09,0.8,21.3,12.0,42.9,73.3,11.6,0.29,24.3,25.6,167.0,22.1,7.3,3.19,0.0,153.0,275.0,0.114,13629.0,10.0,87.6,47.3,-0.138,46.9,0.5,11.3,0.909,20.7,3550.0,3680.0,79.3,65670.0,0.3,378.0,7.1,38.2,13645.0,0.93,22.3,12119.0,Healey
Brewster,10313.0,8871.0,7948.0,5300.0,1974.0,0.8601764762920585,0.7706777853194997,0.5139144768738485,0.1914089013865994,14.3,0.216,2.0,-0.135,4.1,6.6,591.6,60.1,11.0,487.2,18.9,0.178,5.1,69.0,274.0,6.1,12.2,45.6,1601.0,3.3,3316.0,53.7,5.21,173.0,13.5,0.0,86.8,5.1,3.5,7.3,2.0,2.17,30.2,26.9,2.3,28424.0,-0.07,0.1,28.5,27.0,53.6,65.1,12.9,0.116,19.6,16.2,195.0,25.3,5.9,8.95,-0.001,121.0,171.0,0.153,17748.0,20.0,94.2,64.3,-0.075,55.1,6.1,5.7,0.99,7.1,3352.0,3475.0,92.9,72995.0,0.04,446.0,10.2,15.1,8198.0,1.26,25.1,7436.0,Healey
Chatham,6591.0,6213.0,5423.0,3647.0,1491.0,0.942649066909422,0.8227886511910181,0.553330298892429,0.2262175694128357,14.7,0.079,9.8,-0.109,1.6,4.9,4158.4,32.7,11.6,585.8,14.4,0.06,19.6,72.7,231.0,13.1,19.6,28.3,1570.0,2.8,4709.0,52.7,7.72,364.0,11.6,1.6,100.3,21.2,2.2,18.3,1.2,1.95,36.5,26.1,6.6,38178.0,-0.28,0.7,58.8,29.0,56.9,56.5,,0.288,21.9,12.3,279.0,43.8,5.9,1.49,0.0,94.0,275.0,0.198,17062.0,37.0,92.9,86.0,,55.5,1.6,8.2,0.987,6.3,3536.0,3919.0,93.7,70171.0,0.19,529.0,1.6,29.1,5603.0,0.16,20.0,5075.0,Healey
Dennis,14670.0,12856.0,11439.0,7379.0,2637.0,0.876346284935242,0.7797546012269939,0.5029993183367416,0.1797546012269938,14.8,0.143,2.1,-0.111,9.9,8.2,1217.0,146.5,10.9,554.3,,0.1,14.1,160.0,193.0,5.6,7.0,36.9,1152.0,5.0,2735.0,53.6,9.1,249.0,11.3,2.8,,3.5,9.5,11.6,2.2,2.03,36.4,20.9,3.7,26477.0,-0.01,1.3,45.8,29.0,52.5,51.5,,0.05,20.6,19.2,268.0,34.3,9.8,4.69,-0.001,134.0,369.0,0.068,,28.0,92.2,66.6,,50.8,7.7,1.3,0.938,2.7,2309.0,2388.0,97.3,,,436.0,1.4,34.2,11762.0,0.36,24.3,10321.0,Healey
Eastham,5746.0,4994.0,4392.0,2979.0,1213.0,0.8691263487643578,0.7643578141315698,0.5184476157326836,0.2111033762617473,18.2,0.07,2.0,-0.086,8.1,6.1,1626.3,72.7,10.9,523.6,17.6,0.042,18.2,128.7,122.0,8.1,0.0,35.7,1451.0,5.9,3576.0,53.5,8.7,311.0,16.3,0.0,116.7,24.2,2.0,5.3,1.3,2.08,30.4,30.5,6.4,25769.0,-0.03,0.6,34.3,18.0,56.6,62.4,10.3,0.212,25.4,16.8,307.0,40.1,8.6,4.76,-0.001,71.0,252.0,0.124,19519.0,17.0,95.9,97.3,-0.085,51.6,0.0,2.1,0.996,7.3,2890.0,2936.0,92.7,71920.0,0.17,552.0,6.1,16.0,4269.0,0.72,28.8,4100.0,Healey
Falmouth,32512.0,29425.0,26076.0,16833.0,5814.0,0.905050442913386,0.8020423228346457,0.5177472933070866,0.178826279527559,9.8,0.082,6.7,-0.096,12.7,8.1,1379.9,184.4,10.4,520.2,16.4,0.056,9.8,113.4,85.0,10.1,47.3,41.0,1391.0,3.7,3160.0,53.2,5.42,171.0,18.1,3.8,69.1,4.1,9.7,13.7,6.4,2.21,32.5,24.9,7.0,30119.0,-0.06,1.4,30.4,19.0,50.8,59.4,16.2,0.106,20.9,25.7,154.0,18.9,4.9,2.64,-0.001,497.0,336.0,0.195,14939.0,20.0,92.2,54.5,-0.062,52.1,1.6,7.6,0.922,9.3,3656.0,3789.0,90.7,72191.0,0.29,396.0,3.5,40.6,25376.0,0.57,29.4,21890.0,Healey
Harwich,13435.0,12045.0,10787.0,7080.0,2588.0,0.896538890956457,0.8029028656494231,0.5269817640491254,0.1926311871976181,15.5,0.105,2.5,-0.148,4.1,7.7,916.4,117.7,10.7,511.2,15.0,0.073,13.1,88.0,256.0,8.2,16.3,31.1,1321.0,3.4,4047.0,53.5,6.98,282.0,18.2,0.0,92.5,2.5,13.2,15.4,2.8,2.15,33.0,25.8,5.2,29505.0,-0.01,0.9,34.3,36.0,50.8,60.2,,0.27,23.9,19.9,246.0,26.8,6.1,3.62,-0.001,99.0,203.0,0.17,14511.0,24.0,92.7,64.5,,57.6,4.9,7.3,0.951,5.7,3586.0,3690.0,94.3,67436.0,0.21,467.0,3.3,22.7,10452.0,0.5,24.9,9448.0,Healey
Mashpee,15054.0,13314.0,11752.0,7566.0,2490.0,0.8844161020326824,0.7806563039723662,0.5025906735751295,0.1654045436428856,15.0,0.271,2.9,-0.101,6.4,8.9,1268.0,43.6,9.5,487.3,15.4,0.223,5.7,64.5,48.0,12.1,21.4,40.7,1435.0,3.9,3436.0,53.5,6.32,217.0,17.6,0.0,75.4,1.4,7.3,2.7,7.3,2.27,30.6,19.7,0.6,28959.0,-0.02,1.2,20.7,15.0,46.7,70.7,20.1,0.291,20.9,27.5,266.0,31.2,7.7,30.98,-0.001,75.0,210.0,0.169,15331.0,18.0,91.7,49.3,-0.051,48.5,0.7,11.6,0.941,6.7,3833.0,4056.0,93.3,69090.0,0.21,378.0,5.0,33.3,10586.0,3.56,24.9,10263.0,Healey
Orleans,6303.0,6297.0,5460.0,3591.0,1447.0,0.9990480723465016,0.866254164683484,0.569728700618753,0.2295732191020149,13.6,0.165,18.7,-0.091,3.4,3.9,2370.1,158.0,10.8,560.6,15.8,0.123,18.7,110.7,291.0,22.1,17.0,29.9,1313.0,3.1,3979.0,52.9,8.78,350.0,14.0,10.2,98.7,6.8,8.7,18.6,2.2,1.97,37.5,28.7,1.6,36674.0,-0.2,0.3,61.1,41.0,62.4,54.1,10.9,0.107,21.1,16.9,378.0,48.9,9.5,2.35,-0.001,164.0,300.0,0.136,21458.0,36.0,92.1,77.1,0.096,62.1,0.0,1.5,0.989,6.2,4219.0,4293.0,93.8,63144.0,0.22,581.0,6.8,28.6,5429.0,0.33,24.9,4842.0,Healey
